792;
1470;
512;
445;
1382;
771;
1050;
48;
1918;
3232;
799;
484;
1593;
1128;
43;
192;
291;
2190;
2363;
494;
504;
480;
605;
1811;
742;
5109;
1533;
1350;
1613;
3182;
4439;
1121;
234;
820;
2988;
1183;
309;
744;
4041;
461;
99;
460;
3326;
289;
71;
1107;
2022;
1635;
156;
4064;
505;
1717;
70;
2043;
587;
1896;
1285;
3433;
1385;
1393;
1139;
8633;
871;
536;
2050;
15;
179;
2671;
473;
3718;
570;
388;
849;
1665;
389;
111;
358;
351;
1693;
516;
1200;
267;
742;
1586;
1858;
118;
1000;
2511;
58;
364;
497;
1135;
148;
3497;
959;
1903;
3577;
107;
1996;
2767;
217;
659;
270;
8938;
744;
265;
1076;
4498;
290;
1194;
206;
550;
2714;
292;
2823;
4051;
202;
1937;
1498;
4747;
